"name","nsa_temp_raw","nsa_ds","x"
"observed",-0.057,-0.057,0.0146082337317397
"observed",-0.25,-0.25,0.0149402390438247
"observed",-0.392,-0.392,0.0152722443559097
"observed",-0.411,-0.411,0.0156042496679947
"observed",-0.337,-0.337,0.0159362549800797
"observed",-0.381,-0.381,0.0162682602921647
"observed",-0.361,-0.361,0.0166002656042497
"observed",-0.243,-0.243,0.0169322709163347
"observed",-0.334,-0.334,0.0172642762284197
"observed",-0.291,-0.291,0.0175962815405046
"observed",-0.299,-0.299,0.0179282868525896
"observed",-0.179,-0.179,0.0182602921646746
"observed",-0.239,-0.239,0.0185922974767596
"observed",-0.217,-0.217,0.0189243027888446
"observed",-0.095,-0.095,0.0192563081009296
"observed",-0.41,-0.41,0.0195883134130146
"observed",-0.45,-0.45,0.0199203187250996
"observed",-0.159,-0.159,0.0202523240371846
"observed",-0.313,-0.313,0.0205843293492696
"observed",-0.344,-0.344,0.0209163346613546
"observed",-0.218,-0.218,0.0212483399734396
"observed",-0.388,-0.388,0.0215803452855246
"observed",-0.333,-0.333,0.0219123505976096
"observed",-0.333,-0.333,0.0222443559096946
"observed",-0.2,-0.2,0.0225763612217795
"observed",-0.271,-0.271,0.0229083665338645
"observed",-0.195,-0.195,0.0232403718459495
"observed",-0.389,-0.389,0.0235723771580345
"observed",-0.42,-0.42,0.0239043824701195
"observed",-0.076,-0.076,0.0242363877822045
"observed",-0.337,-0.337,0.0245683930942895
"observed",-0.358,-0.358,0.0249003984063745
"observed",-0.316,-0.316,0.0252324037184595
"observed",-0.285,-0.285,0.0255644090305445
"observed",-0.214,-0.214,0.0258964143426295
"observed",-0.225,-0.225,0.0262284196547145
"observed",-0.238,-0.238,0.0265604249667995
"observed",-0.388,-0.388,0.0268924302788845
"observed",-0.438,-0.438,0.0272244355909695
"observed",-0.552,-0.552,0.0275564409030544
"observed",-0.418,-0.418,0.0278884462151394
"observed",-0.495,-0.495,0.0282204515272244
"observed",-0.435,-0.435,0.0285524568393094
"observed",-0.479,-0.479,0.0288844621513944
"observed",-0.644,-0.644,0.0292164674634794
"observed",-0.659,-0.659,0.0295484727755644
"observed",-0.304,-0.304,0.0298804780876494
"observed",-0.411,-0.411,0.0302124833997344
"observed",-0.369,-0.369,0.0305444887118194
"observed",-0.38,-0.38,0.0308764940239044
"observed",-0.473,-0.473,0.0312084993359894
"observed",-0.685,-0.685,0.0315405046480744
"observed",-0.274,-0.274,0.0318725099601594
"observed",-0.295,-0.295,0.0322045152722444
"observed",-0.477,-0.477,0.0325365205843293
"observed",-0.548,-0.548,0.0328685258964143
"observed",-0.428,-0.428,0.0332005312084993
"observed",-0.532,-0.532,0.0335325365205843
"observed",-0.38,-0.38,0.0338645418326693
"observed",-0.336,-0.336,0.0341965471447543
"observed",-0.278,-0.278,0.0345285524568393
"observed",-0.283,-0.283,0.0348605577689243
"observed",-0.289,-0.289,0.0351925630810093
"observed",-0.366,-0.366,0.0355245683930943
"observed",-0.455,-0.455,0.0358565737051793
"observed",-0.381,-0.381,0.0361885790172643
"observed",-0.344,-0.344,0.0365205843293493
"observed",-0.314,-0.314,0.0368525896414343
"observed",-0.157,-0.157,0.0371845949535193
"observed",-0.152,-0.152,0.0375166002656043
"observed",-0.25,-0.25,0.0378486055776892
"observed",-0.312,-0.312,0.0381806108897742
"observed",-0.245,-0.245,0.0385126162018592
"observed",-0.394,-0.394,0.0388446215139442
"observed",-0.255,-0.255,0.0391766268260292
"observed",-0.288,-0.288,0.0395086321381142
"observed",-0.284,-0.284,0.0398406374501992
"observed",-0.391,-0.391,0.0401726427622842
"observed",-0.468,-0.468,0.0405046480743692
"observed",-0.786,-0.786,0.0408366533864542
"observed",-0.306,-0.306,0.0411686586985392
"observed",-0.364,-0.364,0.0415006640106242
"observed",-0.211,-0.211,0.0418326693227092
"observed",-0.185,-0.185,0.0421646746347942
"observed",-0.114,-0.114,0.0424966799468791
"observed",-0.131,-0.131,0.0428286852589641
"observed",-0.346,-0.346,0.0431606905710491
"observed",-0.605,-0.605,0.0434926958831341
"observed",-0.774,-0.774,0.0438247011952191
"observed",-0.918,-0.918,0.0441567065073041
"observed",-0.625,-0.625,0.0444887118193891
"observed",-0.416,-0.416,0.0448207171314741
"observed",-0.386,-0.386,0.0451527224435591
"observed",-0.661,-0.661,0.0454847277556441
"observed",-0.252,-0.252,0.0458167330677291
"observed",-0.298,-0.298,0.0461487383798141
"observed",-0.041,-0.041,0.0464807436918991
"observed",-0.27,-0.27,0.0468127490039841
"observed",-0.477,-0.477,0.0471447543160691
"observed",-0.458,-0.458,0.047476759628154
"observed",-0.351,-0.351,0.047808764940239
"observed",-0.825,-0.825,0.048140770252324
"observed",-0.716,-0.716,0.048472775564409
"observed",-0.535,-0.535,0.048804780876494
"observed",-0.522,-0.522,0.049136786188579
"observed",-0.348,-0.348,0.049468791500664
"observed",-0.307,-0.307,0.049800796812749
"observed",-0.345,-0.345,0.050132802124834
"observed",-0.456,-0.456,0.050464807436919
"observed",-0.362,-0.362,0.050796812749004
"observed",-0.449,-0.449,0.051128818061089
"observed",-0.678,-0.678,0.051460823373174
"observed",-0.895,-0.895,0.051792828685259
"observed",-0.076,-0.076,0.052124833997344
"observed",-0.25,-0.25,0.052456839309429
"observed",-0.355,-0.355,0.0527888446215139
"observed",-0.288,-0.288,0.0531208499335989
"observed",-0.384,-0.384,0.0534528552456839
"observed",-0.369,-0.369,0.0537848605577689
"observed",-0.312,-0.312,0.0541168658698539
"observed",-0.297,-0.297,0.0544488711819389
"observed",-0.352,-0.352,0.0547808764940239
"observed",-0.504,-0.504,0.0551128818061089
"observed",-0.441,-0.441,0.0554448871181939
"observed",-0.503,-0.503,0.0557768924302789
"observed",-0.853,-0.853,0.0561088977423639
"observed",-0.593,-0.593,0.0564409030544489
"observed",-0.499,-0.499,0.0567729083665339
"observed",-0.544,-0.544,0.0571049136786189
"observed",-0.323,-0.323,0.0574369189907038
"observed",-0.113,-0.113,0.0577689243027888
"observed",-0.26,-0.26,0.0581009296148738
"observed",-0.308,-0.308,0.0584329349269588
"observed",-0.443,-0.443,0.0587649402390438
"observed",-0.603,-0.603,0.0590969455511288
"observed",-0.456,-0.456,0.0594289508632138
"observed",-0.59,-0.59,0.0597609561752988
"observed",-0.176,-0.176,0.0600929614873838
"observed",-0.467,-0.467,0.0604249667994688
"observed",-0.661,-0.661,0.0607569721115538
"observed",-0.448,-0.448,0.0610889774236388
"observed",-0.378,-0.378,0.0614209827357238
"observed",-0.196,-0.196,0.0617529880478088
"observed",-0.216,-0.216,0.0620849933598938
"observed",-0.212,-0.212,0.0624169986719788
"observed",-0.171,-0.171,0.0627490039840637
"observed",-0.269,-0.269,0.0630810092961487
"observed",-0.337,-0.337,0.0634130146082337
"observed",-0.461,-0.461,0.0637450199203187
"observed",-0.132,-0.132,0.0640770252324037
